SkewTentCell_0_init_state_i;"=AVERAGE(G40:G65536)"
SkewTentCell_1_init_state_i;"=AVERAGE(H40:H65536)"
PwlcCell_3_end_state_o;"=AVERAGE(AD40:AD65536)"
PwlcCell_2_init_state_i;"=AVERAGE(C40:C65536)"
SkewTentCell_3_init_state_i;"=AVERAGE(J40:J65536)"
broadcastKeys;"=AVERAGE(M40:M65536)"
PwlcCell_1_init_state_i;"=AVERAGE(B40:B65536)"
SkewTentCell_2_init_state_i;"=AVERAGE(I40:I65536)"
PwlcCell_0_end_state_o;"=AVERAGE(AA40:AA65536)"
ReadKeys_init_iter;"=AVERAGE(E40:E65536)"
PwlcCell_3_init_state_i;"=AVERAGE(D40:D65536)"
ReadKeys_init_keysIn;"=AVERAGE(F40:F65536)"
writeResults;"=AVERAGE(AW40:AW65536)"
ReadKeys_end_nextIter;"=AVERAGE(L40:L65536)"
implode_Xor1_0_samples;"=AVERAGE(AQ40:AQ65536)"
PwlcCell_1_end_state_o;"=AVERAGE(AB40:AB65536)"
xor;"=AVERAGE(AM40:AM65536;AN40:AN65536;AO40:AO65536;AP40:AP65536;AS40:AS65536;AT40:AT65536;AV40:AV65536)"
PwlcCell_2_end_state_o;"=AVERAGE(AC40:AC65536)"
implode_Xor1_1_samples;"=AVERAGE(AR40:AR65536)"
pwlcCell;"=AVERAGE(S40:S65536;T40:T65536;U40:U65536;V40:V65536)"
fork_3;"=AVERAGE(R40:R65536)"
fork_2;"=AVERAGE(Q40:Q65536)"
fork_1;"=AVERAGE(P40:P65536)"
readKeys;"=AVERAGE(K40:K65536)"
fork_0;"=AVERAGE(O40:O65536)"
SkewTentCell_0_end_state_o;"=AVERAGE(AE40:AE65536)"
broadcastKeys_end_out1_8_0;"=AVERAGE(N40:N65536)"
join_3;"=AVERAGE(AL40:AL65536)"
implode_Xor2_samples;"=AVERAGE(AU40:AU65536)"
join_2;"=AVERAGE(AK40:AK65536)"
join_1;"=AVERAGE(AJ40:AJ65536)"
join_0;"=AVERAGE(AI40:AI65536)"
SkewTentCell_1_end_state_o;"=AVERAGE(AF40:AF65536)"
SkewTentCell_3_end_state_o;"=AVERAGE(AH40:AH65536)"
PwlcCell_0_init_state_i;"=AVERAGE(A40:A65536)"
SkewTentCell_2_end_state_o;"=AVERAGE(AG40:AG65536)"
skewTentCell;"=AVERAGE(W40:W65536;X40:X65536;Y40:Y65536;Z40:Z65536)"
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;705000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;5000000.00;6000000.00;16364999680.00;16149000192.00;15838999552.00;16252999680.00;14343999488.00;14193999872.00;13923999744.00;14168000512.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;576000000.00;438000000.00;853000000.00;357000000.00;1166000000.00;1158000000.00;1260999936.00;1208000000.00;381000000.00;353000000.00;1168999936.00;1098000000.00;301000000.00;1144999936.00;1001000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;693000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16320000000.00;16659999744.00;15690000384.00;16309000192.00;14293999616.00;14193000448.00;13978999808.00;14097000448.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;638000000.00;358000000.00;800000000.00;358000000.00;1163000064.00;1156000000.00;1251000064.00;1194000000.00;385000000.00;354000000.00;1190000000.00;1111000064.00;419000000.00;1063000000.00;984000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;691000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16378000384.00;15886000128.00;15793000448.00;15857000448.00;14348999680.00;14423000064.00;14087000064.00;14229999616.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;627000000.00;358000000.00;828000000.00;357000000.00;1172000000.00;1151000064.00;1256000000.00;1203000064.00;376000000.00;350000000.00;1159000064.00;1110000000.00;426000000.00;1022000000.00;1017000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;692000000.00;0.00;5000000.00;0.00;5000000.00;6000000.00;5000000.00;5000000.00;16462000128.00;16565000192.00;16711000064.00;16103000064.00;14218999808.00;14304000000.00;14085999616.00;14128000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;576000000.00;360000000.00;830000000.00;358000000.00;1167000064.00;1250000000.00;1156000000.00;1194000000.00;381000000.00;348000000.00;1247000064.00;1112000000.00;320000000.00;985000000.00;1003000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;743000000.00;0.00;6000000.00;0.00;6000000.00;6000000.00;5000000.00;5000000.00;15912999936.00;16346999808.00;15754999808.00;15733000192.00;14442000384.00;14332999680.00;13921999872.00;14275999744.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;573000000.00;356000000.00;810000000.00;358000000.00;1172999936.00;1252000000.00;1152999936.00;1243000064.00;384000000.00;356000000.00;1263000064.00;1108999936.00;317000000.00;1023000000.00;1002000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;789000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;15804999680.00;15969000448.00;15902999552.00;15687999488.00;14209000448.00;14279999488.00;14136999936.00;14325000192.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;577000000.00;356000000.00;830000000.00;356000000.00;1164000000.00;1264000000.00;1154000000.00;1207000064.00;381000000.00;353000000.00;1200000000.00;1300000000.00;333000000.00;1092999936.00;997000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;691000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;6000000.00;5000000.00;16732999680.00;16385999872.00;15696000000.00;16126999552.00;14371999744.00;14314000384.00;14060999680.00;14318000128.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;577000000.00;358000000.00;810000000.00;356000000.00;1267000064.00;1156999936.00;1156999936.00;1200000000.00;378000000.00;353000000.00;1256000000.00;1111000064.00;310000000.00;1037000000.00;1002000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;779000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16190999552.00;16327000064.00;16035999744.00;16131999744.00;14284999680.00;14062000128.00;13918999552.00;14218000384.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;561000000.00;359000000.00;911000000.00;383000000.00;1308000000.00;1194000000.00;1155000064.00;1200999936.00;378000000.00;346000000.00;1271000064.00;1092000000.00;332000000.00;1072000000.00;997000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;698000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16305999872.00;16839000064.00;15989000192.00;16519000064.00;14289000448.00;14224000000.00;13920000000.00;14165000192.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;579000000.00;359000000.00;912000000.00;359000000.00;1170000000.00;1152000000.00;1152999936.00;1294000000.00;384000000.00;360000000.00;1160999936.00;1106000000.00;334000000.00;990000000.00;1118000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;752000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16378000384.00;16055000064.00;16039999488.00;16133999616.00;14350000128.00;14305000448.00;14008999936.00;14400000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;566000000.00;454000000.00;840000000.00;358000000.00;1176999936.00;1151000064.00;1264999936.00;1204000000.00;381000000.00;355000000.00;1140999936.00;1098000000.00;314000000.00;1156999936.00;981000000.00;
